Grantor,Grantee,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
Governor's Office of Crime Control and Prevention,"Sexual Assault/Spouse Abuse Resource Center, Inc. (SARC)",21014,2018,649082.03,Victims of Crime Act (VOCA) Victim Assistance Formula Grant Program,Grant,1,06/30/2018 12:00:00 AM
State Department of Education/DIV OF REHABILITATION SERVICES-HQ,INDEPENDENCE NOW INC,20904,2010,120000,Independent Living Services,Grant,1,06/30/2010 12:00:00 AM
"Military Department /Maryland Military Dept., MEMA",Oxford  Fire Co.,21654,2016,309000,Volunteer Company Assistance Fund,Loan,1,06/30/2016 12:00:00 AM
Department of Business and Economic Development/Maryland State Arts Council,CLASS ACTS ARTS INC,20910-4931,2011,43789,Artists in Education Grant,Grant,1,06/30/2011 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,HARBORVIEW FARMS,21661,2012,232685.5,COVER CROP,Grant,1,06/30/2012 12:00:00 AM
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","Family Crisis Center of Baltimore County, Inc.",21222,2016,17871.6,Violence Against Women Act,Grant,1,06/30/2016 12:00:00 AM
Department of Housing and Community Development/Foreclosure Mediation,Maryland Volunteer Lawyer Svc,21201,2016,129928,Foreclosure Mediation,Grant,1,06/30/2016 12:00:00 AM
Department of Business and Economic Development/Maryland State Arts Council,AMERICAN VISIONARY ART MUSEUM INC,21230,2011,166715,Grants to Arts Organizations,Grant,1,06/30/2011 12:00:00 AM
Department Of Business and Economic Development/MD Biotechnology Center,BAMVET LABORATORIES INC,21108,2013,100000,Biotechnology Center Grant - Translational Research Award,Grant,1,06/30/2013 12:00:00 AM
Governor's Office of Crime Control and Prevention,Domestic Violence Sexual Assault Resource Center (Dove Center),21550,2018,2886.12,Reimbursable funds from MDH for Sexual Assault/Rape Crisis Grant Program (SARC) -  Community Sexual Violence Prevention,Grant,1,06/30/2018 12:00:00 AM
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention",Tahirih Justice Center,21201,2016,19049.68,Violence Against Women Act,Grant,1,06/30/2016 12:00:00 AM
Facilities and Capital Equipment,COACH & EQUIP / WAY STATION,21863-0159,2018,93636.8,COACH & EQUIP - SMALL BUS,Grant,1,06/30/2018 12:00:00 AM
Department of Housing and Community Development/OAG Counseling,Eastside Community Develop Corp,21224,2014,170800,Operating Assistance Grants (OAG) Counseling,Grant,1,06/30/2014 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,Prince George's General Hospital (Dimensions Healthcare System),20785,2015,63098,Sexual Assault Rape Crisis,Grant,1,06/30/2015 12:00:00 AM
Maryland Department of Education/DORS - Headquarters,INDEPENDENCE NOW INC,20904,2012,148644,COMPREHENSIVE SERV-INDEPEN LIV,Grant,1,06/30/2012 12:00:00 AM
Department Of Business and Economic Development/MD Small Business Development Financing Authority (MSBDFA),GREAT GOURMET INC,216322615,2013,500000,MSBDFA Contract Finance - Line of Credit,L,1,06/30/2013 12:00:00 AM
Maryland Technology Development Corporation/Maryland Technology Transfer & Commercialization Fund,"rel-MD, Inc.",21224,2012,46000,EE upgrades,Loan,1,06/30/2012 12:00:00 AM
Department of Business and Economic Development/Maryland State Arts Council,Kent County Arts Council,21620,2009,90726,grant funding for the support of the County Arts Councils,Grant,1,06/30/2009 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,MATTHEW HOFF,21776-9513,2012,118150,COVER CROP,Grant,1,06/30/2012 12:00:00 AM
Maryland Energy Administration/LMI Community Grants,City of Takoma Park FY17 (Montgomery),20910,2017,90000,Energy efficiency measures for the low and moderate income sector,Grant,1,06/30/2017 12:00:00 AM
Department Of Business and Economic Development/MD Biotechnology Center,NOBLE LIFE SCIENCES INC,20878,2012,80000,Biotechnology Center Grant - Translational Research Award,Grant,1,06/30/2012 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,PAUL T. SWANN,21601-6465,2012,85492,COVER CROP,Grant,1,06/30/2012 12:00:00 AM
Maryland Energy Administration/C&I Deep Energy Retrofit Program,New England Motor Freight,21901-2406,2014,65000,Energy efficiency grants for audits/upgrades in the commercial and industrial sector,Grant,1,06/30/2014 12:00:00 AM
Maryland Department of Education/OTHER INSTITUTIONS,MARYLAND ACADEMY OF SCIENCES,21230-3803,2013,588352,MD ACADEMY OF SCIENCES - STATE AIDED,Grant,1,06/30/2013 12:00:00 AM
Conservation Reserve Enhancement Program (CREP),Eastern Shore Land Conservancy,21601,2018,35744.4,Rolling View Farms (Gough) CREP Easement,Grant,1,06/30/2018 12:00:00 AM
Department of Human Resources/Office of Grants Management,"Kennedy Krieger Education & Community Services, Inc.",21213,2010,204073,Funds are used to provide services to victims of crime,Grant,1,06/30/2010 12:00:00 AM
Maryland Department of Education/DORS- OFFICE OF  BLIND AND VISION SERVICES,GEORGE ABBOTT,20855-2647,2014,165575,SPECIAL FUNDS- MD. BLIND VENDORS,Grant,1,06/30/2014 12:00:00 AM
Department of Planning/MDP - Maryland Heritage Areas Authority,"Anacostia Trails Heritage Area, Inc.",20781,2013,125790,"Operating assistance to support staff salaries, operation costs and general overhead expenses to implement the approved heritage area management plan.",Grant,1,06/30/2013 12:00:00 AM
Prevention and Health Promotion Administration,Parent's Place of Md,21061,2018,234840,Family Involvement,Grant,1,06/30/2018 12:00:00 AM
Miscellaneous Grants to Private Non-Profit Groups,Historic Annapolis Foundation,21401,2018,789000,Funding for daily operations,Grant,1,06/30/2018 12:00:00 AM
"Military Department/MARYLAND MILITARY DEPT, MEMA",WHITEFORD VOLUNTEER FIRE CO INC,21160,2013,61034.31,DISASTER RECOVERY-4091 PUBLIC ASSISTANCE,Grant,1,06/30/2013 12:00:00 AM
Department Of Business and Economic Development/Maryland State Arts Council,"Walters Art Museum, The",21201,2013,814154,"Grantee will receive funding to support the operations and activities of the museum including exhibitions, lectures, educational programming, gallery talks, and special events as described in the grant application.",Grant,1,06/30/2013 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,Greater Baltimore Medical Center (GBMC),21204,2015,7341.33,Maryland Victims of Crime,Grant,1,06/30/2015 12:00:00 AM
State Department of Education/Transitional Education Funding,Sandis Learning Center Inc,21216,2009,126893,Hoyer,Grant,1,06/30/2009 12:00:00 AM
Department of Agriculture/Maryland Agricultural Cost Share (Capital - Bonds),"WRIGHT, DONALD",21629,2009,35000,Install Best Mgmt Practice (BMP) on Farm,Grant,1,06/30/2009 12:00:00 AM
Governor's Office of Crime Control and Prevention,"House of Ruth Maryland, Inc.",21218,2018,58246.8,Family Violence Prevention and Services Act Formula Grants,Grant,1,06/30/2018 12:00:00 AM
INNOVATIVE PROGRAMS,HUMANIM INC,21046,2018,117912.48,PUBLIC SCHOOL OPPORTUNITY ENHANCEMENT,Grant,1,06/30/2018 12:00:00 AM
Maryland State Department of Education/HEAD START,SHORE UP INC,21804,2017,200090,Head Start,Grant,1,06/30/2017 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,Southern Maryland Center for Family Advocacy,20636,2017,35000,Maryland Victims of Crime,Grant,1,06/30/2017 12:00:00 AM
Department of Transportation/MARYLAND HIGHWAY SAFETY OFFICE,JOHNS HOPKINS BLOOMBERG SCHOOL,21205,2014,138129,State and Community Highway,Grant,1,06/30/2014 12:00:00 AM
Maryland Department of Education/Food Services Program,OMNI HOUSE INC,21060,2012,73307.85,FOOD SERVICE - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Department of Agriculture/Cover crop,GREEN POINT FARMS UC,21678,2013,50537.5,Cover Crop Grant-Commodity,Grant,1,06/30/2013 12:00:00 AM
Department of Housing & Community Development/Maryland Affordable Housing Trust,Housing Authority of Washington County,21740,2010,100000,pre-development costs of rental housing,Grant,1,06/30/2010 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,RALPH WHALEY JR,21658,2011,121000,COVER CROP,Grant,1,06/30/2011 12:00:00 AM
Department of Health and Mental Hygiene/Office of Preparedness and Response,Maryland National Capital Home Care Association,21093,2014,50000,Emergency Preparedness Network Development Among Home-Care Providers,Grant,1,06/30/2014 12:00:00 AM
Department Of Business and Economic Development/MD Small Business Development Financing Authority (MSBDFA),STAR ASSOCIATES INC,21230,2013,100000,MSBDFA Contract Finance - Line of Credit,L,1,06/30/2013 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,Maryland Network Against Domestic Violence,20715,2009,76475.18,Law Enforcement Training,Grant,1,06/30/2009 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,JONATHAN C QUINN,21912,2016,92123.5,COVER CROP,Grant,1,06/30/2016 12:00:00 AM
"Military Department/MARYLAND MILITARY DEPT, MEMA",MARYLAND STATE FIREMEN'S ASSOCIATION,21401,2013,275000,MSFA WIDOWS & ORPHANS GRANT,Grant,1,06/30/2013 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS; CONSERVATION GRANTS CAP,"ELLIS FARMS, INC",19966,2010,203154.34,POULTRY LITTER GRANTS,Grant,1,06/30/2010 12:00:00 AM
Department of Natural Resources/Rural Legacy Program,Patuxent Tidewater Land Trust,20650,2009,1154570.02,Mary L Sivak 155.94 Acre Farm Easement,Grant,1,06/30/2009 12:00:00 AM
Maryland Department of Education/OTHER INSTITUTIONS,IMAGINATION STAGE INC,20814,2013,160459,OTHER STATE AIDED INSTITUTIONS,Grant,1,06/30/2013 12:00:00 AM
Military Department - Maryland Military Dept. MEMA,Woodlawn VFC,21207,2015,57389,FEMA DR 4091 HAZARD MITIGATION GRANT PROGRAM,Grant,1,06/30/2015 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,Community Advocates for Family & Youth,20791,2015,29705.71,Maryland Victims of Crime,Grant,1,06/30/2015 12:00:00 AM
Department of Planning/MDP - Historic Preservation Grant Program (Capital),Town of Bladensburg,20710,2013,50000,"Capital Grant funding for project work that includes A/E services, structural analysis, carpentry and masonry repairs, stabilization of foundation, grading, planning for ADA requirements and utility upgrades.",Grant,1,06/30/2013 12:00:00 AM
Commerce/MD State Arts Council,WARD FOUNDATION INC,21804,2017,59397,MD State Arts Council Grants for Organizations (Operating support),Grant,1,06/30/2017 12:00:00 AM
DEPARTMENT OF AGRICULTURE/RURAL MARYLAND COUNCIL,ASIAN AMERICAN CENTER,21703,2021,50000,GRANTS TO NON-GOV ENTITIES,Grant,1,06/30/2021 12:00:00 AM
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","Center for Children, Inc.",20646,2016,31389.33,Byrne Justice Assistance Grant,Grant,1,06/30/2016 12:00:00 AM
Department of The Environment/Hazardous Waste,"Chesapeake Geosciences, Inc.",21045,2012,168960.15,Hazardous Substance Cleanup,Grant,1,06/30/2012 12:00:00 AM
Department of Business and Economic Development/Maryland Biotechnology Center,PLASMONIX INC,21227,2011,100000,Biotechnology Center Grant - Commercialization Grant,Grant,1,06/30/2011 12:00:00 AM
Military Department/Maryland Emergency Management Agency,S M E C O Total,20650,2011,941935.95,Disaster Assistance,Grant,1,06/30/2011 12:00:00 AM
Maryland Department of Education/Food Services Program,FREDERICK COMMUNITY ACTION AGENCY,21701-5527,2012,3662.88,FOOD SERVICE - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Department of Health and Mental Hygiene/Maryland Community Health Resources Commission,Richcroft Inc,21031,2012,66000,DDA/Infrastructure Services,Grant,1,06/30/2012 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,"The Cricket Center, Inc.",21811,2015,29071,VOCA Victim Assistance Formula Grant Program,Grant,1,06/30/2015 12:00:00 AM
Department of Housing & Community Development/Elderly Rental Housing Program,Elkton Senior Apartments,21901,2010,2000000,acquire/construct 60 rental units,Loan,1,06/30/2010 12:00:00 AM
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","Maryland Coalition Against Sexual Assault, Inc. (MCASA)",20907,2016,38212.76,Sexual Assault Services Program,Grant,1,06/30/2016 12:00:00 AM
State Department of Education/STUDENTS WITH DISABILITIES,MARYLAND SCHOOL FOR THE BLIND,21236-4499,2010,7043912,NON- PUBLIC PLACEMENTS,Grant,1,06/30/2010 12:00:00 AM
Department of Health and Mental Hygiene/Maryland Community Health Resources Commission,"Bello Machre, Inc.",21060,2013,76000,DDA Infrastructure Services,Grant,1,06/30/2013 12:00:00 AM
Maryland Department of Education/DIVISION OF EARLY CHILDHOOD DEVELOPMENT,JOHNS HOPKINS UNIV DBA FULFILLMENT SERVICE,21211-4370,2013,643157,RTTT - EARLY LEARNING CHALLENGE,Grant,1,06/30/2013 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,BLUESTEM FARMS LLC,21620,2016,61965,COVER CROP,Grant,1,06/30/2016 12:00:00 AM
Department Of Business and Economic Development/MD Small Business Development Financing Authority (MSBDFA) -,EARTH & TREE LLC,21532,2012,100000,MSBDFA CONTRACT FINANCE LOAN,Loan,1,06/30/2012 12:00:00 AM
Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund,The Smithsonian Institution,2005,2016,723580.96,"Payments made for the implementation of nonpoint source pollution reduction best management practices, including stormwater management, stream restoration, wetland creation, and tree planting activities.",Grant,1,06/30/2016 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,"TURNER FARMS, INC.",21632,2012,50840,COVER CROP,Grant,1,06/30/2012 12:00:00 AM
Department Of Business and Economic Development/MD State Arts Council  -,ARTS COUNCIL OF ANNE ARUNDEL COUNTY,21401,2012,107591,Community Arts Development,Grant,1,06/30/2012 12:00:00 AM
Maryland Energy Administration - Mathias Agriculture Energy Efficiency Program,Prigel Family Creamery FY15,21057,2015,120000,Mathias Agriculture Energy Efficiency and renewable energy grants,Grant,1,06/30/2015 12:00:00 AM
Judiciary/Department of Family Administration,"Life Crisis Center, Inc.",21803,2011,82346.67,Legal Services for victims of domestic violence,Grant,1,06/30/2011 12:00:00 AM
Department of Health and Mental Hygiene/Maryland Community Health Resources Commission,Bello Machre Inc,21122,2012,66000,DDA/Infrastructure Services,Grant,1,06/30/2012 12:00:00 AM
"Military Department /Maryland Military Dept., MEMA",Mardela Springs Volunteer Fire Dept.,21837,2016,137507,Volunteer Company Assistance Fund,Loan,1,06/30/2016 12:00:00 AM
Department of Transportation/Highway Safety Operating,WASH REGION ALCOHOL PROGRAM,22102-3038,2012,304122,ALCOHOL IMPAIRED DRIVING COUNTERMEASURES INCENTIVE GRANT,Grant,1,06/30/2012 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,"For All Seasons, Inc.",21601-3525,2011,19000,Services for Underserved Rape Victims,Grant,1,06/30/2011 12:00:00 AM
Maryland Department of Education/DORS - Headquarters,RESOURCES FOR INDEPENDENCE INC,21502,2012,93855,PROGRAM DEVELOPMENT,Grant,1,06/30/2012 12:00:00 AM
Maryland Department of Education/FOOD SERVICES PROGRAM,UNITY UNITED METHODIST CHURCH,21223-1243,2013,5315,CASH FOR COMMOD - CHILD CARE,Grant,1,06/30/2013 12:00:00 AM
Commercial and Industrial (C&I) Deep Energy Retrofit Program,ATU Training and Education Center,20903,2018,175000,Grants for implement energy conservation measures,Grant,1,06/30/2018 12:00:00 AM
Boards and Commissions/Comprehensive Domestic Violence Program,"Family Crisis Center of Baltimore County, Inc.",21222,2014,171870.5,Domestic Violence Prevention,Grant,1,06/30/2014 12:00:00 AM
Department of Human Resources/Maryland Office of Refugee and Asylees,International Rescue Committee,10168,2012,6640347,"Funds are used to serve refugees eligible for refugee transitional cash assistance in Baltimore City, Montgomery and Prince George's Counties through public/private partnerships.",Grant,1,06/30/2012 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,HOLLAND LAND COMPANY,23415,2016,63500,COVER CROP,Grant,1,06/30/2016 12:00:00 AM
Maryland Energy Administration/Appliance Rebate Program,Appliance Rebate Program - Pepco,20001-4572,2011,646295.98,Energy Efficiency,Grant,1,06/30/2011 12:00:00 AM
