Cohort Year,Local School System,School,High School Graduates,Enrollment,% of High School Graduates Enrolled,College Degree by 25,% of Enrollees with College Degree by 25,No College Degree by 25,% of Enrollees with No College Degree by 25, Median Quarterly Wages at 25 for High School Grads , Median Quarterly Wages at 25 for College Enrollees , Median Quarterly Wages at 25 with a College Degree , Median Quarterly Wages at 25 with No College Degree , Living Wage LLS/ County ,,,,,,,,
2010-11,Howard,MOUNT HEBRON HIGH,380,270,71%,215,80%,55,20%," $10,134 "," $11,105 "," $11,478 "," $8,768 "," $7,966 ",,,,,,,,
2011-12,Howard,MOUNT HEBRON HIGH,318,221,70%,175,79%,46,21%," $11,466 "," $12,594 "," $14,075 "," $6,051 "," $8,114 ",,,,,,,,
2012-13,Howard,MOUNT HEBRON HIGH,361,271,75%,212,78%,59,22%," $12,117 "," $13,766 "," $14,520 "," $6,017 "," $8,239 ",,,,,,,,
2013-14,Howard,MOUNT HEBRON HIGH,336,256,76%,219,86%,37,15%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Howard,MOUNT HEBRON HIGH,377,277,74%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Howard,MOUNT HEBRON HIGH,336,250,74%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Howard,MOUNT HEBRON HIGH,365,285,78%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Howard,MOUNT HEBRON HIGH,371,301,81%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Howard,MOUNT HEBRON HIGH,376,303,81%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Howard,MOUNT HEBRON HIGH,404,293,73%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Howard,OAKLAND MILLS HIGH,277,161,58%,97,60%,64,40%," $7,232 "," $8,136 "," $9,171 "," $6,690 "," $7,537 ",,,,,,,,
2008-09,Howard,OAKLAND MILLS HIGH,258,151,59%,101,67%,50,33%," $6,356 "," $7,538 "," $7,937 "," $5,982 "," $7,601 ",,,,,,,,
2009-10,Howard,OAKLAND MILLS HIGH,266,161,61%,97,60%,64,40%," $6,321 "," $6,879 "," $9,122 "," $6,109 "," $7,782 ",,,,,,,,
2010-11,Howard,OAKLAND MILLS HIGH,260,157,60%,106,68%,51,33%," $8,365 "," $9,147 "," $9,820 "," $5,671 "," $7,966 ",,,,,,,,
2011-12,Howard,OAKLAND MILLS HIGH,252,146,58%,94,64%,52,36%," $8,183 "," $8,912 "," $11,342 "," $5,864 "," $8,114 ",,,,,,,,
2012-13,Howard,OAKLAND MILLS HIGH,291,163,56%,97,60%,66,41%," $8,418 "," $8,316 "," $9,239 "," $6,405 "," $8,239 ",,,,,,,,
2013-14,Howard,OAKLAND MILLS HIGH,269,164,61%,99,60%,65,40%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Howard,OAKLAND MILLS HIGH,237,140,59%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Howard,OAKLAND MILLS HIGH,252,149,59%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Howard,OAKLAND MILLS HIGH,241,142,59%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Howard,OAKLAND MILLS HIGH,249,144,58%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Howard,OAKLAND MILLS HIGH,232,139,60%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Howard,OAKLAND MILLS HIGH,307,138,45%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Howard,RESERVOIR HIGH,347,195,56%,142,73%,53,27%," $8,698 "," $10,600 "," $11,413 "," $6,562 "," $7,537 ",,,,,,,,
2008-09,Howard,RESERVOIR HIGH,315,198,63%,143,72%,55,28%," $7,886 "," $9,121 "," $10,394 "," $6,129 "," $7,601 ",,,,,,,,
2009-10,Howard,RESERVOIR HIGH,345,199,58%,136,68%,63,32%," $8,386 "," $10,066 "," $10,607 "," $6,659 "," $7,782 ",,,,,,,,
2010-11,Howard,RESERVOIR HIGH,356,228,64%,158,69%,70,31%," $9,270 "," $9,988 "," $11,540 "," $7,640 "," $7,966 ",,,,,,,,
2011-12,Howard,RESERVOIR HIGH,372,233,63%,160,69%,73,31%," $10,003 "," $10,592 "," $12,270 "," $6,639 "," $8,114 ",,,,,,,,
2012-13,Howard,RESERVOIR HIGH,390,250,64%,178,71%,72,29%," $9,922 "," $10,778 "," $12,105 "," $7,395 "," $8,239 ",,,,,,,,
2013-14,Howard,RESERVOIR HIGH,323,220,68%,149,68%,71,32%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Howard,RESERVOIR HIGH,357,237,66%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Howard,RESERVOIR HIGH,377,261,69%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Howard,RESERVOIR HIGH,365,256,70%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Howard,RESERVOIR HIGH,356,237,67%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Howard,RESERVOIR HIGH,361,246,68%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Howard,RESERVOIR HIGH,335,224,67%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Howard,RIVER HILL HIGH,334,242,73%,184,76%,58,24%," $8,728 "," $8,804 "," $9,652 "," $6,667 "," $7,537 ",,,,,,,,
2008-09,Howard,RIVER HILL HIGH,314,237,76%,190,80%,47,20%," $10,337 "," $10,718 "," $11,075 "," $7,055 "," $7,601 ",,,,,,,,
2009-10,Howard,RIVER HILL HIGH,344,248,72%,204,82%,44,18%," $9,690 "," $10,474 "," $12,156 "," $6,675 "," $7,782 ",,,,,,,,
2010-11,Howard,RIVER HILL HIGH,328,246,75%,208,85%,38,15%," $10,880 "," $11,318 "," $12,004 "," $8,563 "," $7,966 ",,,,,,,,
2011-12,Howard,RIVER HILL HIGH,330,253,77%,209,83%,44,17%," $12,527 "," $13,719 "," $14,636 "," $7,095 "," $8,114 ",,,,,,,,
2012-13,Howard,RIVER HILL HIGH,358,275,77%,236,86%,39,14%," $12,084 "," $12,722 "," $13,111 "," $5,195 "," $8,239 ",,,,,,,,
2013-14,Howard,RIVER HILL HIGH,316,250,79%,212,85%,38,15%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Howard,RIVER HILL HIGH,331,259,78%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Howard,RIVER HILL HIGH,325,261,80%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Howard,RIVER HILL HIGH,272,241,89%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Howard,RIVER HILL HIGH,304,248,82%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Howard,RIVER HILL HIGH,278,235,85%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Howard,RIVER HILL HIGH,307,222,72%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Howard,WILDE LAKE HIGH,311,201,65%,130,65%,71,35%," $6,592 "," $7,006 "," $9,043 "," $5,504 "," $7,537 ",,,,,,,,
2008-09,Howard,WILDE LAKE HIGH,327,204,62%,160,78%,44,22%," $8,387 "," $9,631 "," $10,505 "," $5,978 "," $7,601 ",,,,,,,,
2009-10,Howard,WILDE LAKE HIGH,321,203,63%,142,70%,61,30%," $7,630 "," $9,938 "," $10,443 "," $7,082 "," $7,782 ",,,,,,,,
2010-11,Howard,WILDE LAKE HIGH,298,180,60%,125,69%,55,31%," $8,442 "," $9,651 "," $12,955 "," $6,309 "," $7,966 ",,,,,,,,
2011-12,Howard,WILDE LAKE HIGH,312,189,61%,134,71%,55,29%," $8,610 "," $10,899 "," $12,689 "," $7,228 "," $8,114 ",,,,,,,,
2012-13,Howard,WILDE LAKE HIGH,285,187,66%,134,72%,53,28%," $9,496 "," $11,056 "," $14,178 "," $6,026 "," $8,239 ",,,,,,,,
2013-14,Howard,WILDE LAKE HIGH,289,189,65%,137,73%,52,28%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Howard,WILDE LAKE HIGH,302,177,59%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Howard,WILDE LAKE HIGH,298,192,64%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Howard,WILDE LAKE HIGH,261,180,69%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Howard,WILDE LAKE HIGH,277,167,60%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Howard,WILDE LAKE HIGH,285,174,61%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Howard,WILDE LAKE HIGH,312,174,56%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Kent,KENT COUNTY HIGH,164,69,42%,44,64%,25,36%," $6,003 "," $6,464 "," $8,444 "," $4,607 "," $7,125 ",,,,,,,,
2008-09,Kent,KENT COUNTY HIGH,161,54,34%,26,48%,28,52%," $8,100 "," $8,859 "," $11,737 "," $7,602 "," $7,186 ",,,,,,,,
2009-10,Kent,KENT COUNTY HIGH,158,63,40%,40,64%,23,37%," $7,685 "," $9,335 "," $11,566 "," $8,104 "," $7,357 ",,,,,,,,
2010-11,Kent,KENT COUNTY HIGH,147,54,37%,33,61%,21,39%," $7,744 "," $8,306 "," $11,343 "," $6,381 "," $7,531 ",,,,,,,,
2011-12,Kent,KENT COUNTY HIGH,164,64,39%,38,59%,26,41%," $8,129 "," $10,677 "," $12,681 "," $7,503 "," $7,671 ",,,,,,,,
2012-13,Kent,KENT COUNTY HIGH,156,62,40%,35,57%,27,44%," $6,935 "," $7,951 ", * ," $6,101 "," $7,789 ",,,,,,,,
2013-14,Kent,KENT COUNTY HIGH,142,48,34%,27,56%,21,44%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Kent,KENT COUNTY HIGH,160,57,36%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Kent,KENT COUNTY HIGH,123,50,41%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Kent,KENT COUNTY HIGH,133,49,37%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Kent,KENT COUNTY HIGH,143,64,45%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Kent,KENT COUNTY HIGH,116,58,50%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Kent,KENT COUNTY HIGH,133,51,38%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Montgomery,ALBERT EINSTEIN HIGH,338,140,41%,89,64%,51,36%," $7,938 "," $7,457 "," $8,772 "," $6,356 "," $9,428 ",,,,,,,,
2008-09,Montgomery,ALBERT EINSTEIN HIGH,335,139,42%,82,59%,57,41%," $7,788 "," $8,164 "," $10,252 "," $6,856 "," $9,508 ",,,,,,,,
2009-10,Montgomery,ALBERT EINSTEIN HIGH,325,139,43%,91,66%,48,35%," $7,265 "," $8,742 "," $14,060 "," $6,182 "," $9,734 ",,,,,,,,
2010-11,Montgomery,ALBERT EINSTEIN HIGH,326,137,42%,79,58%,58,42%," $7,469 "," $8,127 "," $9,495 "," $6,338 "," $9,964 ",,,,,,,,
2011-12,Montgomery,ALBERT EINSTEIN HIGH,359,152,42%,103,68%,49,32%," $8,984 "," $8,910 "," $9,139 "," $8,332 "," $10,150 ",,,,,,,,
2012-13,Montgomery,ALBERT EINSTEIN HIGH,329,141,43%,100,71%,41,29%," $7,791 "," $9,372 "," $9,378 "," $9,366 "," $10,306 ",,,,,,,,
2013-14,Montgomery,ALBERT EINSTEIN HIGH,377,182,48%,120,66%,62,34%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Montgomery,ALBERT EINSTEIN HIGH,375,179,48%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Montgomery,ALBERT EINSTEIN HIGH,330,178,54%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Montgomery,ALBERT EINSTEIN HIGH,357,174,49%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Montgomery,ALBERT EINSTEIN HIGH,401,193,48%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Montgomery,ALBERT EINSTEIN HIGH,384,187,49%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Montgomery,ALBERT EINSTEIN HIGH,373,181,49%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Montgomery,ALTERNATIVE PROGRAMS,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $9,428 ",,,,,,,,
2008-09,Montgomery,ALTERNATIVE PROGRAMS,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $9,508 ",,,,,,,,
2009-10,Montgomery,ALTERNATIVE PROGRAMS,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $9,734 ",,,,,,,,
2010-11,Montgomery,ALTERNATIVE PROGRAMS,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $9,964 ",,,,,,,,
2011-12,Montgomery,ALTERNATIVE PROGRAMS,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $10,150 ",,,,,,,,
2012-13,Montgomery,ALTERNATIVE PROGRAMS,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $10,306 ",,,,,,,,
2013-14,Montgomery,ALTERNATIVE PROGRAMS,^^,^^,^^,^^,^^,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Montgomery,ALTERNATIVE PROGRAMS,28,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Montgomery,ALTERNATIVE PROGRAMS,36,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Montgomery,ALTERNATIVE PROGRAMS,36,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Montgomery,ALTERNATIVE PROGRAMS,29,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Montgomery,ALTERNATIVE PROGRAMS,32,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Montgomery,BETHESDA-CHEVY CHASE HIGH,408,238,58%,184,77%,54,23%," $9,261 "," $9,504 "," $10,214 "," $7,733 "," $9,428 ",,,,,,,,
2008-09,Montgomery,BETHESDA-CHEVY CHASE HIGH,425,264,62%,205,78%,59,22%," $8,578 "," $8,960 "," $10,516 "," $6,593 "," $9,508 ",,,,,,,,
2009-10,Montgomery,BETHESDA-CHEVY CHASE HIGH,417,247,59%,192,78%,55,22%," $7,977 "," $9,227 "," $10,113 "," $5,989 "," $9,734 ",,,,,,,,
2010-11,Montgomery,BETHESDA-CHEVY CHASE HIGH,420,259,62%,196,76%,63,24%," $9,071 "," $10,102 "," $12,316 "," $6,263 "," $9,964 ",,,,,,,,
2011-12,Montgomery,BETHESDA-CHEVY CHASE HIGH,449,290,65%,225,78%,65,22%," $9,948 "," $10,523 "," $13,310 "," $8,595 "," $10,150 ",,,,,,,,
2012-13,Montgomery,BETHESDA-CHEVY CHASE HIGH,479,297,62%,239,81%,58,20%," $10,621 "," $13,622 "," $14,280 "," $9,705 "," $10,306 ",,,,,,,,
2013-14,Montgomery,BETHESDA-CHEVY CHASE HIGH,400,250,63%,197,79%,53,21%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Montgomery,BETHESDA-CHEVY CHASE HIGH,456,272,60%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Montgomery,BETHESDA-CHEVY CHASE HIGH,462,317,69%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Montgomery,BETHESDA-CHEVY CHASE HIGH,479,344,72%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Montgomery,BETHESDA-CHEVY CHASE HIGH,510,372,73%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Montgomery,BETHESDA-CHEVY CHASE HIGH,495,363,73%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Montgomery,BETHESDA-CHEVY CHASE HIGH,501,352,70%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Montgomery,CLARKSBURG HIGH,254,115,45%,67,58%,48,42%," $7,401 "," $8,218 "," $9,993 "," $6,769 "," $9,428 ",,,,,,,,
2008-09,Montgomery,CLARKSBURG HIGH,350,182,52%,126,69%,56,31%," $8,164 "," $8,940 "," $10,131 "," $7,976 "," $9,508 ",,,,,,,,
2009-10,Montgomery,CLARKSBURG HIGH,379,201,53%,129,64%,72,36%," $8,986 "," $9,984 "," $10,998 "," $7,422 "," $9,734 ",,,,,,,,
2010-11,Montgomery,CLARKSBURG HIGH,371,201,54%,134,67%,67,33%," $8,418 "," $8,418 "," $9,461 "," $7,777 "," $9,964 ",,,,,,,,
2011-12,Montgomery,CLARKSBURG HIGH,402,227,57%,147,65%,80,35%," $9,531 "," $10,161 "," $11,304 "," $9,190 "," $10,150 ",,,,,,,,
2012-13,Montgomery,CLARKSBURG HIGH,412,240,58%,161,67%,79,33%," $9,459 "," $10,010 "," $13,116 "," $8,929 "," $10,306 ",,,,,,,,
2013-14,Montgomery,CLARKSBURG HIGH,458,279,61%,201,72%,78,28%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Montgomery,CLARKSBURG HIGH,464,234,50%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Montgomery,CLARKSBURG HIGH,442,266,60%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Montgomery,CLARKSBURG HIGH,481,292,61%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Montgomery,CLARKSBURG HIGH,467,298,64%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Montgomery,CLARKSBURG HIGH,492,292,59%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Montgomery,CLARKSBURG HIGH,561,311,55%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Montgomery,COL. ZADOK MAGRUDER HIGH,508,287,57%,222,77%,65,23%," $8,652 "," $9,489 "," $11,068 "," $6,084 "," $9,428 ",,,,,,,,
2008-09,Montgomery,COL. ZADOK MAGRUDER HIGH,461,243,53%,171,70%,72,30%," $8,772 "," $8,716 "," $10,300 "," $6,538 "," $9,508 ",,,,,,,,
2009-10,Montgomery,COL. ZADOK MAGRUDER HIGH,475,270,57%,200,74%,70,26%," $9,259 "," $9,966 "," $11,470 "," $7,436 "," $9,734 ",,,,,,,,
2010-11,Montgomery,COL. ZADOK MAGRUDER HIGH,413,222,54%,171,77%,51,23%," $9,461 "," $11,359 "," $12,030 "," $8,431 "," $9,964 ",,,,,,,,
2011-12,Montgomery,COL. ZADOK MAGRUDER HIGH,441,256,58%,189,74%,67,26%," $8,336 "," $9,489 "," $10,326 "," $7,983 "," $10,150 ",,,,,,,,
2012-13,Montgomery,COL. ZADOK MAGRUDER HIGH,378,199,53%,151,76%,48,24%," $8,874 "," $10,345 "," $12,124 "," $7,452 "," $10,306 ",,,,,,,,
2013-14,Montgomery,COL. ZADOK MAGRUDER HIGH,401,221,55%,168,76%,53,24%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Montgomery,COL. ZADOK MAGRUDER HIGH,377,203,54%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Montgomery,COL. ZADOK MAGRUDER HIGH,366,211,58%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Montgomery,COL. ZADOK MAGRUDER HIGH,346,196,57%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Montgomery,COL. ZADOK MAGRUDER HIGH,350,200,57%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Montgomery,COL. ZADOK MAGRUDER HIGH,368,202,55%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Montgomery,COL. ZADOK MAGRUDER HIGH,380,201,53%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Montgomery,DAMASCUS HIGH,363,191,53%,139,73%,52,27%," $8,784 "," $9,000 "," $10,334 "," $6,661 "," $9,428 ",,,,,,,,
2008-09,Montgomery,DAMASCUS HIGH,334,205,61%,160,78%,45,22%," $9,614 "," $10,383 "," $11,752 "," $7,812 "," $9,508 ",,,,,,,,
2009-10,Montgomery,DAMASCUS HIGH,366,214,59%,152,71%,62,29%," $9,300 "," $10,132 "," $12,464 "," $6,685 "," $9,734 ",,,,,,,,
2010-11,Montgomery,DAMASCUS HIGH,324,185,57%,145,78%,40,22%," $8,696 "," $10,803 "," $11,557 "," $10,594 "," $9,964 ",,,,,,,,
2011-12,Montgomery,DAMASCUS HIGH,318,202,64%,152,75%,50,25%," $9,310 "," $10,594 "," $11,344 "," $7,415 "," $10,150 ",,,,,,,,
2012-13,Montgomery,DAMASCUS HIGH,331,209,63%,175,84%,34,16%," $11,016 "," $14,152 "," $14,972 "," $5,492 "," $10,306 ",,,,,,,,
2013-14,Montgomery,DAMASCUS HIGH,306,202,66%,155,77%,47,23%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Montgomery,DAMASCUS HIGH,309,172,56%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Montgomery,DAMASCUS HIGH,291,182,63%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Montgomery,DAMASCUS HIGH,252,165,66%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Montgomery,DAMASCUS HIGH,297,199,67%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Montgomery,DAMASCUS HIGH,290,210,72%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Montgomery,DAMASCUS HIGH,286,183,64%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Montgomery,GAITHERSBURG HIGH,497,238,48%,173,73%,65,27%," $7,282 "," $8,939 "," $9,727 "," $7,811 "," $9,428 ",,,,,,,,
2008-09,Montgomery,GAITHERSBURG HIGH,430,186,43%,125,67%,61,33%," $6,892 "," $8,209 "," $7,600 "," $8,506 "," $9,508 ",,,,,,,,
2009-10,Montgomery,GAITHERSBURG HIGH,429,188,44%,118,63%,70,37%," $7,907 "," $9,631 "," $10,399 "," $8,285 "," $9,734 ",,,,,,,,
2010-11,Montgomery,GAITHERSBURG HIGH,406,209,52%,134,64%,75,36%," $8,384 "," $8,723 "," $10,212 "," $6,173 "," $9,964 ",,,,,,,,
2011-12,Montgomery,GAITHERSBURG HIGH,395,206,52%,125,61%,81,39%," $8,635 "," $10,298 "," $10,495 "," $8,962 "," $10,150 ",,,,,,,,
2012-13,Montgomery,GAITHERSBURG HIGH,412,171,42%,122,71%,49,29%," $8,043 "," $9,096 "," $9,733 "," $8,357 "," $10,306 ",,,,,,,,
2013-14,Montgomery,GAITHERSBURG HIGH,433,204,47%,135,66%,69,34%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Montgomery,GAITHERSBURG HIGH,465,196,42%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Montgomery,GAITHERSBURG HIGH,476,217,46%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Montgomery,GAITHERSBURG HIGH,450,206,46%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Montgomery,GAITHERSBURG HIGH,468,206,44%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Montgomery,GAITHERSBURG HIGH,538,257,48%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Montgomery,GAITHERSBURG HIGH,538,196,36%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Montgomery,GATEWAY TO COLLEGE PROGRAM,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $9,428 ",,,,,,,,
2008-09,Montgomery,GATEWAY TO COLLEGE PROGRAM,27,*,*,*,*,*,*, * , * , * , * ," $9,508 ",,,,,,,,
2009-10,Montgomery,GATEWAY TO COLLEGE PROGRAM,33,*,*,*,*,*,*," $6,928 ", * , * , * ," $9,734 ",,,,,,,,
2010-11,Montgomery,GATEWAY TO COLLEGE PROGRAM,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $9,964 ",,,,,,,,
2011-12,Montgomery,GATEWAY TO COLLEGE PROGRAM,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $10,150 ",,,,,,,,
2012-13,Montgomery,GATEWAY TO COLLEGE PROGRAM,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $10,306 ",,,,,,,,
2013-14,Montgomery,GATEWAY TO COLLEGE PROGRAM,^^,^^,^^,^^,^^,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Montgomery,GATEWAY TO COLLEGE PROGRAM,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Montgomery,GATEWAY TO COLLEGE PROGRAM,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Montgomery,JAMES HUBERT BLAKE HIGH,451,272,60%,197,72%,75,28%," $7,826 "," $8,695 "," $10,633 "," $4,404 "," $9,428 ",,,,,,,,
2008-09,Montgomery,JAMES HUBERT BLAKE HIGH,469,274,58%,188,69%,86,31%," $8,511 "," $9,341 "," $9,908 "," $7,142 "," $9,508 ",,,,,,,,
2009-10,Montgomery,JAMES HUBERT BLAKE HIGH,391,207,53%,144,70%,63,30%," $8,422 "," $9,726 "," $11,346 "," $5,283 "," $9,734 ",,,,,,,,
2010-11,Montgomery,JAMES HUBERT BLAKE HIGH,428,237,55%,174,73%,63,27%," $8,527 "," $9,391 "," $10,558 "," $7,249 "," $9,964 ",,,,,,,,
2011-12,Montgomery,JAMES HUBERT BLAKE HIGH,442,277,63%,195,70%,82,30%," $8,439 "," $9,000 "," $10,437 "," $7,137 "," $10,150 ",,,,,,,,
